% Model:              Maglev electromagnet small scale.mph
% Version:            COMSOL 6.2.0.415
% Date:               Mar 10 2025, 12:50
% Dimension:          1
% Nodes:              804
% Expressions:        1
% Description:        Line graph
% Arc length (mm)         Magnetic flux density, z-component
54.901366001647816        0.6946751442073308
55.256454820495506        0.6552197843102869
55.416470786799565        0.6201018982715736
55.48181205134049         0.6243105504503046
55.63734596021607         0.6343285402926313
55.996592149731065        0.657467704629683
56.256852844797535        0.6742311809570148
56.576713512662565        0.6948335109877966
57.01822745727448         0.7232715682856878
57.115830792393275        0.7295582309617978
57.15683487559404         0.6966389167876081
57.192937512707495        0.6595659456973063
57.226594776219926        0.6581558275162812
57.552611361260404        0.6444969062046426
57.90231473088645         0.6298455938870688
57.912285209813334        0.6294278667119789
57.92158034898922         0.6290384338413522
58.27195905836624         0.6143588272193223
58.616565921758585        0.599921040166435
58.63163290691917         0.5992897877266656
58.64779458617886         0.5986126715448473
58.99130675547209         0.5842207482340052
59.31155149452791         0.5672162021077793
59.43170048060753         0.5598725748604867
