% Model:              Maglev electromagnet small scale.mph
% Version:            COMSOL 6.2.0.415
% Date:               Mar 10 2025, 13:17
% Dimension:          1
% Nodes:              929
% Expressions:        1
% Description:        Line graph
% Arc length (mm)         Magnetic flux density, y-component
38.555940204430264        2.094443770179938E-4
38.955392343268066        2.1662716361750588E-4
38.9693420669383          2.1687800189950122E-4
39.59655482226459         2.281562876718202E-4
39.802070828283284        1.4636481995981954E-4
40.923731501862875        1.3661323541195974E-5
40.93644004132356         1.3126355113332528E-5
41.02695071105133         9.316290956158133E-6
41.311049725633765        -2.6429120392992363E-6
41.707507682021905        -1.9331886433996364E-5
41.81856301514465         -2.4006782172636258E-5
41.8435972032544          -2.5060601165599435E-5
42.82002862298424         -6.616367073270833E-5
43.530180673301956        -9.605765871259028E-5
43.55923826134051         -9.728084350403679E-5
43.61725339281652         -9.97230016900865E-5
44.3290075203347          -1.296844294207142E-4
45.322254847367574        -2.569866213820338E-4
45.356844000683886        -3.4204284032426945E-4
45.39534565995731         -2.2461815553521502E-4
45.72473596114837         -3.958159039631149E-5
45.74333090532038         -3.573738610045731E-5
45.75083111021298         -3.4186839908912034E-5
46.56870951337289         1.3489630666296693E-4
46.91856303967389         1.1983489350984317E-4
47.220463096142375        1.0624416003000934E-4
47.41565337718741         1.2570710064262495E-4
47.60389352302731         1.4447702484125048E-4
47.91274371470093         1.7527329659785136E-4
48.23299716246891         5.79602062162979E-5
48.67947019808155         -8.095135673028618E-5
49.902311119145665        -5.264533562815619E-5
49.934510547879384        -5.18999911655351E-5
50.03205859735736         -4.9641972891247505E-5
51.18955089767721         -2.8898209332194072E-5
51.37758766248181         -3.261375676090129E-5
51.44029897542196         -2.9817772585870715E-5
51.616153690702646        -2.197728929878574E-5
52.17568735195804         2.9695215537538617E-6
52.199135973808325        4.014978466455268E-6
52.5358382443178          1.9026850740451383E-5
52.658640217858185        2.4501977293707225E-5
53.0206842851348          4.064371369331418E-5
53.48001688033684         6.112305955508182E-5
53.631377513213664        6.7871474065942E-5
53.71772669790473         7.172135286149969E-5
53.842232596461294        6.874844735367297E-5
54.03868318577385         6.63703638583891E-5
54.08638770869818         6.786279048086781E-5
54.38002037419284         7.704903070191989E-5
54.47000447268176         7.986416553477825E-5
54.54408237935415         8.218167828325998E-5
55.049564287011705        9.799558040085936E-5
55.09777634890218         9.950388528011901E-5
55.176777778711326        1.0197542948257757E-4
55.383112128473925        1.0843055905704381E-4
55.68865697115599         1.1798946940130794E-4
55.72554822512265         1.1914360502995418E-4
55.770360860622645        1.2054555952297852E-4
56.06044538824956         1.2962079694928854E-4
56.35332010134308         1.3878332477819724E-4
56.8332315629578          4.281740015642955E-5
57.09005494625446         -8.43155170858823E-5
57.09875425162712         -4.110031276996082E-5
57.564091829307344        4.036098682668466E-5
57.57090980155148         4.041532488026219E-5
58.07783799331845         4.4455454453896166E-5
58.10016080818734         4.4633363408156274E-5
