% Model:              Maglev electromagnet small scale.mph
% Version:            COMSOL 6.2.0.415
% Date:               Mar 27 2025, 10:47
% Dimension:          1
% Nodes:              682
% Expressions:        1
% Description:        Line graph
% Arc length (mm)         Magnetic flux density, y-component
29.336834580513255        1.2717070146912884E-5
29.408330000272855        1.4968206432046409E-5
29.843387336563204        2.8666613394758827E-5
30.205700629363264        4.007456935622516E-5
30.476578281625635        4.8603542455404294E-5
30.801841837216116        5.884493406816233E-5
30.983131037675548        6.455308570445131E-5
31.13410766003898         3.0551242579945266E-5
31.217888237458894        2.7932081224558776E-6
31.530940777055633        -1.0406742261939923E-5
31.60832387877153         -5.5467289965040696E-5
32.02683796582683         -5.53481181383273E-6
32.175965422281365        1.2257429096275493E-5
32.577943826937314        6.0217052269552554E-5
32.88551735166864         9.691332792321186E-5
33.11299286887704         1.240531940451248E-4
33.453158895178476        1.646380469837652E-4
33.62494687681902         1.8513389146092296E-4
34.16271082456574         2.492939458098925E-4
34.19914777192725         2.536411999031318E-4
34.40631101158407         2.783576294281315E-4
34.67194992670068         3.100507306532974E-4
34.73035236807557         3.5053914606584917E-4
35.27934344865475         4.953583812775554E-4
35.377729206056365        3.406714630786558E-4
36.44047686120156         5.440684697928599E-4
36.502656556809626        5.661864106220133E-4
37.41254931707371         7.075533892921277E-4
37.41895271353495         5.299265651637378E-4
37.427112973885386        5.358704173207882E-4
37.78477715408026         7.963894348097682E-4
38.07586561090571         6.831299021838013E-4
38.29062702927604         6.726539251357085E-4
38.755610849855316        0.0013542536105570558
38.79375575116086         0.0014101685727118687
38.81032100551077         3.5123227907166014E-4
39.39752466373453         -2.5755993600541015E-4
39.47873376342288         -1.9194771143769048E-4
39.72750897370328         9.048174817218493E-6
39.85885336184097         1.151667935838986E-4
40.35252171513565         5.140220817572612E-4
40.46192901144994         6.024168075048173E-4
40.70565962798983         7.993369557139741E-4
40.92325770955637         9.751435370963538E-4
41.02093447304773         0.001054060675272553
41.52633335916531         0.0014623935510162025
41.65362444496719         0.001565237337477762
41.89472242476046         0.0017600304684654326
41.98766205727179         0.001671516381371211
42.076307054060266        0.0017246794460541138
42.58637927931443         0.002971978353515111
42.909718248837834        0.0037626513669793797
43.15040266953643         0.004351206085540663
43.54724440616711         0.005321618195879904
43.678792567357746        0.005643297890652331
44.05843807195164         0.006571659404292225
44.3131432818011          0.007194499688943218
44.380655600944664        0.007359590116805596
44.8563886957601          0.00852291824962034
45.018181758273954        0.006879215569245714
45.656961264044725        0.009360364919757986
45.95966300298531         0.006315770387563281
46.15183255688463         0.0020965109884925654
47.008344013042006        0.006408643629489889
47.25892740383708         0.007670213233692156
48.12299964098706         0.012020410853594142
48.49667871247716         0.013901709357947559
