x,Bz_ag,Bx_ag,B_ag
0.10251256281407034,0.0272707080287965,-8.221628547263201e-05,0.027270831962180084
0.10351758793969848,0.02744777516066567,-8.369038931892431e-05,0.027447902749604014
0.10452261306532662,0.02762795347167629,-8.519208824587643e-05,0.02762808481826074
0.10552763819095476,0.027811299852111605,-8.672216620916259e-05,0.027811435061826185
0.1065326633165829,0.027997872802903286,-8.828143359506134e-05,0.02799801198476544
0.10753768844221104,0.028187732489912805,-8.987072833155101e-05,0.028187875756620906
0.10854271356783918,0.028380940800497047,-9.149091706420326e-05,0.028381088268585177
0.10954773869346733,0.02857756140248426,-9.314289637718097e-05,0.028577713192484516
0.11055276381909547,0.028777659805652382,-9.482759408856348e-05,0.028777816042265286
0.11155778894472361,0.028981303425918155,-9.654597060221112e-05,0.028981464238191538
0.11256281407035175,0.029188561652242553,-9.829902032951e-05,0.02918872717375943
0.11356783919597989,0.029399505916523683,-0.00010008777319052618,0.0293996762855997
0.11457286432160803,0.029614209766547397,-0.00010191329618631057,0.029614385126438315
0.11557788944723617,0.029832748942144383,-0.00010377669505633065,0.02983292944126429
0.11658291457286431,0.030055201454842445,-0.00010567911601785262,0.030055387246993272
0.11758793969849245,0.030281647671011876,-0.0001076217476050617,0.030281838915624932
0.11859296482412059,0.030512170398858583,-0.0001096058225983914,0.03051236726124883
0.11959798994974873,0.030746854979360413,-0.0001116326200656612,0.03074705763099427
0.12060301507537687,0.0309857893814131,-0.00011370346750676395,0.030985998000190598
0.121608040201005,0.031229064301400336,-0.00011581974311714967,0.031229279071952536
0.12261306532663316,0.03147677326741981,-0.00011798287818217591,0.031476994381422416
0.1236180904522613,0.03172901274843064,-0.00012019435958898402,0.03172924040493486
0.12462311557788944,0.031985882268616664,-0.00012245573249147648,0.03198611667439838
0.12562814070351758,0.03224748452720455,-0.0001247686031214075,0.03224772589713299
0.12663316582914572,0.03251392552409296,-0.00012713464175892773,0.032514174081520186
0.12763819095477386,0.03278531469160299,-0.0001295555858765585,0.03278557066877548
0.128643216080402,0.03306176503270226,-0.0001320332434572319,0.03306202867119608
0.12964824120603013,0.03334339326608432,-0.00013456949650037181,0.033343664817265445
0.13065326633165827,0.03363031997848279,-0.00013716630475476806,0.033630599703994256
0.1316582914572864,0.033922669784660506,-0.00013982570965156217,0.03392295795693823
0.13266331658291455,0.0342205714955473,-0.00014254983847037902,0.034220868398366404
0.1336683417085427,0.03452415829495972,-0.0001453409087805322,0.034524464224013694
0.13467336683417083,0.03483356792547963,-0.00014820123311474017,0.03483388318899431
0.13567839195979897,0.035148942883965396,-0.00015113322395158565,0.035149267803350384
0.1366834170854271,0.03547043062742576,-0.00015413939900671886,0.0354707655379659
0.13768844221105525,0.03579818378971979,-0.0001572223868378863,0.03579852904130949
0.1386934673366834,0.03613236040990369,-0.00016038493280253675,0.036132716367827174
0.13969849246231153,0.03647312417284894,-0.00016362990540358066,0.03647349121860972
0.14070351758793967,0.0368206446630057,-0.00016696030303664256,0.03682102319520901
0.14170854271356784,0.037175097632061394,-0.00017037926115087785,0.037175488067353296
0.14271356783919598,0.03753666528146565,-0.0001738900599002213,0.03753706805553307
0.14371859296482412,0.037905536560691754,-0.00017749613228252648,0.03790595212932811
0.14472361809045226,0.03828190748242829,-0.00018120107281297175,0.03828233632266959
0.1457286432160804,0.03866598145560785,-0.00018500864677556552,0.038666424066944594
0.14673366834170853,0.039057969637663434,-0.00018892280010230343,0.039058426543334246
0.14773869346733667,0.0394580913071777,-0.0001929476699269872,0.03945856305555111
0.1487437185929648,0.03986657425837295,-0.00019708759583022203,0.039867061424423984
0.14974874371859295,0.04028365521894751,-0.00020134713190836576,0.040284158405836955
0.1507537688442211,0.04070958029276049,-0.00020573105965245302,0.04071010013352484
0.15175879396984923,0.04114460542937998,-0.00021024440171713926,0.04114514258874087
